0,fish
1,shark
2,bird
3,salamander
4,frog
5,turtle
6,lizard
7,crocodile
8,dinosaur
9,snake
10,trilobite
11,arachnid
12,bug
13,ungulate
14,monotreme
15,marsupial
16,coral
17,mollusk
18,crustacean
19,marine mammals
20,dog
21,wild dog
22,cat
23,wild cat
24,bear
25,sloth
26,mongoose
27,butterfly
28,echinoderms
29,rabbit
30,rodent
31,plant
32,hog
33,ferret
34,armadillo
35,primate
36,technology
37,clothing
38,instrument
39,boat
40,aircraft
41,furniture
42,vehicle
43,decor
44,outdoor scene
45,weapon
46,accessory
47,building
48,sports equipment
49,toy
50,tool
51,other
52,container
53,ball
54,hat
55,lab equipment
56,food
57,paper
58,train
59,cooking
60,electronics
61,fence
62,fruit
63,person
64,vegetable
65,flower
66,fungus
